ID,SCHOOL,DISTRICT,URBAN,FIRSTSUS,MALE,RACE,POVERTY,SPED,GRADE,enrolldate,exitdate,MONTH,GRADE7,GRADE8,INCIDENT,INC2,SCHLINC,SCHLENR,SCHLEXIT,SCHINC,SCHENRL,SCHEXIT,QUARTER,_st,_d,_t,_t0
1921,8684,3269,1,1,0,2,1,0,6,18141,18361,1,0,0,18169,2009-09-29,20,1,220,20,1,135,1,1,1,19,0
13204,39605,5656,0,1,0,2,1,0,7,18141,18291,1,1,0,18169,2009-09-29,20,1,150,20,1,92,1,1,1,19,0
7547,8684,3269,1,1,0,2,1,0,6,18141,18430,1,0,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
452,7469,5621,0,1,1,5,1,0,7,18141,18430,1,1,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
9223,8444,3269,1,1,0,2,1,0,7,18141,18430,1,1,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
7773,7981,3269,1,1,1,2,1,0,6,18141,18430,1,0,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
9158,8444,3269,1,1,1,2,1,1,6,18141,18430,1,0,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
13232,7736,3269,1,1,0,3,1,0,8,18141,18424,1,0,1,18169,2009-09-29,20,1,283,20,1,179,1,1,1,19,0
9131,8444,3269,1,1,0,2,1,0,8,18141,18424,1,0,1,18169,2009-09-29,20,1,283,20,1,179,1,1,1,19,0
6624,7873,3269,1,1,1,2,1,0,8,18141,18235,1,0,1,18169,2009-09-29,20,1,94,20,1,63,1,1,1,19,0
11930,6361,1316,0,0,1,5,0,1,6,18141,18162,NA,0,0,20000,2014-10-04,181,1,21,NA,1,15,NA,1,0,20,0
247,7981,3269,1,1,1,3,1,0,7,18141,18430,1,1,0,18170,2009-09-30,21,1,289,21,1,180,1,1,1,20,0
5169,7208,4144,0,1,1,2,1,1,7,18141,18430,1,1,0,18170,2009-09-30,21,1,289,21,1,180,1,1,1,20,0
12755,7644,6181,0,1,1,2,1,1,8,18141,18424,1,0,1,18170,2009-09-30,21,1,283,21,1,179,1,1,1,20,0
3100,39604,5656,0,0,0,5,1,0,8,18141,18162,NA,0,1,20000,2014-10-04,181,1,21,NA,1,15,NA,1,0,20,0
10366,7644,6181,0,1,1,4,0,1,8,18141,18284,1,0,1,18170,2009-09-30,21,1,143,21,1,87,1,1,1,20,0
12808,8444,3269,1,0,1,2,1,0,7,18141,18162,NA,1,0,20000,2014-10-04,181,1,21,NA,1,15,NA,1,0,20,0
660,39604,5656,0,1,0,5,0,1,6,18141,18430,1,0,0,18170,2009-09-30,21,1,289,21,1,180,1,1,1,20,0
932,7981,3269,1,1,1,3,1,0,7,18141,18424,1,1,0,18170,2009-09-30,21,1,283,21,1,179,1,1,1,20,0
12194,7873,3269,1,0,1,3,1,0,6,18141,18162,NA,0,0,20000,2014-10-04,181,1,21,NA,1,15,NA,1,0,20,0
7513,8631,3269,1,1,1,2,1,0,8,18141,18371,1,0,1,18170,2009-09-30,21,1,230,21,1,141,1,1,1,20,0
8996,7873,3269,1,1,0,2,1,1,8,18141,18430,2,0,1,18171,2009-10-01,22,1,289,22,1,180,1,1,1,21,0
8886,7873,3269,1,1,0,2,1,1,8,18141,18389,2,0,1,18171,2009-10-01,22,1,248,22,1,155,1,1,1,21,0
7184,8448,3269,1,1,1,2,1,1,8,18141,18424,2,0,1,18171,2009-10-01,22,1,283,22,1,179,1,1,1,21,0
4178,6858,3381,0,1,0,2,1,0,8,18141,18421,2,0,1,18171,2009-10-01,22,1,280,22,1,176,1,1,1,21,0
12271,7981,3269,1,1,0,2,1,0,6,18141,18430,2,0,0,18171,2009-10-01,22,1,289,22,1,180,1,1,1,21,0
4265,6858,3381,0,1,0,5,0,0,8,18141,18421,2,0,1,18171,2009-10-01,22,1,280,22,1,176,1,1,1,21,0
10788,6858,3381,0,1,0,2,1,0,8,18141,18421,2,0,1,18171,2009-10-01,22,1,280,22,1,176,1,1,1,21,0
7568,8448,3269,1,1,1,2,1,0,7,18141,18430,2,1,0,18171,2009-10-01,22,1,289,22,1,180,1,1,1,21,0
8120,7973,3269,1,0,1,5,0,1,8,18141,18163,NA,0,1,20000,2014-10-04,181,1,22,NA,1,16,NA,1,0,21,0
7445,8631,3269,1,1,1,2,1,1,8,18149,18424,2,0,1,18171,2009-10-01,22,6,283,22,6,179,1,1,1,21,5
1987,8631,3269,1,1,1,2,1,0,8,18141,18424,2,0,1,18171,2009-10-01,22,1,283,22,1,179,1,1,1,21,0
4165,6858,3381,0,1,1,5,1,0,8,18141,18295,2,0,1,18171,2009-10-01,22,1,154,22,1,94,1,1,1,21,0
4215,6858,3381,0,1,1,5,1,0,8,18141,18421,2,0,1,18171,2009-10-01,22,1,280,22,1,176,1,1,1,21,0
4734,7874,3269,1,1,1,2,1,1,6,18141,18182,2,0,0,18171,2009-10-01,22,1,41,22,1,29,1,1,1,21,0
4022,8444,3269,1,1,1,2,1,1,7,18141,18430,2,1,0,18171,2009-10-01,22,1,289,22,1,180,1,1,1,21,0
8994,7736,3269,1,1,1,5,1,0,6,18141,18287,2,0,0,18171,2009-10-01,22,1,146,22,1,88,1,1,1,21,0
2317,7736,3269,1,1,1,2,1,0,6,18148,18430,2,0,0,18172,2009-10-02,23,5,289,23,5,180,1,1,1,22,4
4768,30738,5901,0,0,0,5,1,0,7,18141,18164,NA,1,0,20000,2014-10-04,181,1,23,NA,1,17,NA,1,0,22,0
12430,7873,3269,1,0,0,3,1,0,7,18141,18164,NA,1,0,20000,2014-10-04,181,1,23,NA,1,17,NA,1,0,22,0
7143,7581,5901,0,1,1,2,1,1,7,18141,18189,2,1,0,18172,2009-10-02,23,1,48,23,1,34,1,1,1,22,0
3093,8582,3269,1,1,1,2,1,1,6,18141,18424,2,0,0,18172,2009-10-02,23,1,283,23,1,179,1,1,1,22,0
126,7469,5621,0,1,0,5,0,0,7,18141,18430,2,1,0,18172,2009-10-02,23,1,289,23,1,180,1,1,1,22,0
4736,6938,3549,0,0,0,5,1,0,7,18141,18164,NA,1,0,20000,2014-10-04,181,1,23,NA,1,17,NA,1,0,22,0
12951,39605,5656,0,1,1,5,0,0,8,18141,18424,2,0,1,18172,2009-10-02,23,1,283,23,1,179,1,1,1,22,0
950,8631,3269,1,1,0,3,1,0,7,18141,18382,2,1,0,18172,2009-10-02,23,1,241,23,1,150,1,1,1,22,0
12362,7469,5621,0,1,0,2,1,0,7,18141,18430,2,1,0,18172,2009-10-02,23,1,289,23,1,180,1,1,1,22,0
7724,8631,3269,1,1,1,2,1,1,7,18141,18430,2,1,0,18172,2009-10-02,23,1,289,23,1,180,1,1,1,22,0
12628,7581,5901,0,1,1,3,1,0,7,18141,18430,2,1,0,18172,2009-10-02,23,1,289,23,1,180,1,1,1,22,0
